"filename", "language", "Dart", "YAML", "Swift", "C++", "Markdown", "XML", "JSON", "HTML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 16, 6, 59
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 5, 18
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 4, 13, 62
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\windows\runner\flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\windows\runner\main.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\windows\runner\resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\windows\runner\utils.cpp", "C++", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\windows\runner\utils.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 15, 48, 246
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\windows\runner\win32_window.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 4344, 77, 46, 513, 13, 482, 249, 37, 8, 90, 310, 661, 6830
